date,18:00,19:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,39.70000,40.30000,40.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-13,41.60000,41.60000,41.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14,32.50000,36.60000,40.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,40.00000,37.30000,37.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16,30.90000,30.40000,29.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-17,30.50000,30.30000,29.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18,34.20000,33.30000,32.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19,41.70000,40.50000,37.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20,44.60000,42.50000,39.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21,33.10000,32.20000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22,23.80000,22.40000,22.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-23,34.00000,33.50000,32.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-24,37.00000,36.50000,35.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-25,43.00000,42.10000,41.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26,34.00000,32.90000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27,44.10000,44.00000,43.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-28,40.70000,40.20000,40.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-29,38.20000,35.30000,34.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,27.00000,27.10000,26.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,44.00000,42.10000,41.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-02,39.90000,34.60000,33.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-03,33.50000,32.40000,31.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-04,38.70000,37.70000,32.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-05,32.10000,31.20000,30.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-06,31.00000,29.20000,28.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-07,34.40000,33.10000,32.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08,43.90000,41.00000,32.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,31.00000,30.40000,30.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-10,34.80000,33.50000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-11,30.20000,29.70000,29.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-12,26.20000,26.40000,26.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-13,28.70000,25.30000,24.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-14,30.90000,30.80000,29.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-15,32.90000,31.70000,30.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-16,29.30000,28.40000,27.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-17,28.10000,27.20000,25.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-18,29.20000,28.80000,27.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-19,29.70000,28.90000,28.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-20,28.40000,25.70000,25.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-21,44.80000,45.00000,43.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,44.30000,42.00000,39.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23,35.50000,34.40000,33.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-24,36.70000,36.70000,35.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-25,34.00000,34.30000,32.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-26,36.90000,35.50000,34.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-27,36.70000,30.80000,30.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-28,35.40000,34.60000,33.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,32.20000,31.90000,31.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-30,33.60000,33.40000,32.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-31,40.90000,36.60000,34.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,36.60000,37.20000,34.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-02,33.10000,32.10000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-03,31.40000,29.40000,29.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-04,31.60000,31.40000,31.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-05,32.90000,32.50000,32.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-06,34.10000,33.40000,32.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-07,32.30000,32.20000,31.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-08,42.10000,33.80000,33.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-09,31.30000,31.70000,31.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-10,33.30000,29.00000,28.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-11,40.20000,38.30000,36.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-12,31.30000,33.20000,31.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-13,32.70000,32.00000,30.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-14,38.10000,35.90000,35.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-15,33.80000,32.70000,32.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16,31.00000,31.10000,30.10000,,,,,,,,,,,,,,,,,,,,,,,,,
